міндетінен	міндет:ROOT/і:MORPH/нен:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
ұстазының	ұстаз:ROOT/ы:MORPH/ның:MORPH
тұрғанын	тұр:ROOT/ған:MORPH/ы:MORPH/н:MORPH
шешендердің	шешен:ROOT/дер:MORPH/дің:MORPH
Пайымды	Пайым:ROOT/ды:MORPH
өзінің	өз:ROOT/і:MORPH/нің:MORPH
тұста	тұс:ROOT/та:MORPH
шығатын	шығ:ROOT/атын:MORPH
күлкіні	күлкі:ROOT/ні:MORPH
тарихын	тарих:ROOT/ы:MORPH/н:MORPH
ретінде	рет:ROOT/і:MORPH/нде:MORPH
қозғамаған	қозға:ROOT/ма:MORPH/ған:MORPH
биік	биік:ROOT
ерінің	ер:ROOT/і:MORPH/нің:MORPH
немесе	немесе:ROOT
біз	біз:ROOT
бар	бар:ROOT
жатқаны	жат:ROOT/қан:MORPH/ы:MORPH
екінші	екі:ROOT/нші:MORPH
қарамастан	қара:ROOT/мас:MORPH/тан:MORPH
қақ	қақ:ROOT
дағдылы	дағды:ROOT/лы:MORPH
көшеді	көш:ROOT/е:MORPH/ді:MORPH
Философ	Философ:ROOT
жұмыс	жұмыс:ROOT
келгенде	кел:ROOT/ген:MORPH/де:MORPH
барынан	бар:ROOT/ы:MORPH/нан:MORPH
қалыптастыруға	қалып:ROOT/тас:MORPH/тыр:MORPH/у:MORPH/ға:MORPH
пікірдің	пікір:ROOT/дің:MORPH
рет	рет:ROOT
бойлатуға	бой:ROOT/ла:MORPH/т:MORPH/у:MORPH/ға:MORPH
аралықта	ара:ROOT/лық:MORPH/та:MORPH
құқығын	құқығ:ROOT/ы:MORPH/н:MORPH
мәңгілік	мәңгі:ROOT/лік:MORPH
аузына	ауз:ROOT/ы:MORPH/на:MORPH
тұтастай	тұтас:ROOT/тай:MORPH
ред	ред:ROOT
мен	мен:ROOT
өлім	өлім:ROOT
тұрғаны	тұр:ROOT/ған:MORPH/ы:MORPH
жетудің	жет:ROOT/у:MORPH/дің:MORPH
билікті	билік:ROOT/ті:MORPH
адамдар	адам:ROOT/дар:MORPH
себепші	себеп:ROOT/ші:MORPH
Франсуа	Франсуа:ROOT
Сократқа	Сократ:ROOT/қа:MORPH
таңдаулы	таңдау:ROOT/лы:MORPH
әжуаға	әжуа:ROOT/ға:MORPH
бірге	бірге:ROOT
сұлу	сұлу:ROOT
Месланд	Месланд:ROOT
Теледидардың	Теледидар:ROOT/дың:MORPH
еткен	ет:ROOT/кен:MORPH
екі	екі:ROOT
өзінің	өз:ROOT/і:MORPH/нің:MORPH
дән	дән:ROOT
сәйкес	сәйкес:ROOT
салады	сал:ROOT/а:MORPH/ды:MORPH
өзгереді	өзгер:ROOT/е:MORPH/ді:MORPH
алтын	алтын:ROOT
ұстаздың	ұстаз:ROOT/дың:MORPH
бірігуіне	біріг:ROOT/у:MORPH/і:MORPH/не:MORPH
армандаған	арман:ROOT/да:MORPH/ған:MORPH
жөн	жөн:ROOT
үміті	үміт:ROOT/і:MORPH
тақырыптағы	тақырып:ROOT/та:MORPH/ғы:MORPH
табиғат	табиғат:ROOT
даналықтың	дана:ROOT/лық:MORPH/тың:MORPH
олардың	о:ROOT/лар:MORPH/дың:MORPH
Пайымда	Пайым:ROOT/да:MORPH
да	да:ROOT
Платонды	Платон:ROOT/ды:MORPH
деуімізге	де:ROOT/у:MORPH/іміз:MORPH/ге:MORPH
жадырататын	жадыра:ROOT/т:MORPH/атын:MORPH
оны	о:ROOT/ны:MORPH
болмайтын	бол:ROOT/ма:MORPH/йтын:MORPH
осы	осы:ROOT
сипат	сипат:ROOT
жыл	жыл:ROOT
дәлелдейді	дәлел:ROOT/де:MORPH/й:MORPH/ді:MORPH
деген	де:ROOT/ген:MORPH
әртүрлі	әр:ROOT/түр:MORPH/лі:MORPH
тұрғыдан	тұр:ROOT/ғы:MORPH/дан:MORPH
теориясы	теория:ROOT/сы:MORPH
де	де:ROOT
Платонның	Платон:ROOT/ның:MORPH
негізгі	негіз:ROOT/гі:MORPH
терең	терең:ROOT
табатын	таб:ROOT/атын:MORPH
өрлеудің	өр:ROOT/ле:MORPH/у:MORPH/дің:MORPH
бұла	бұла:ROOT
әдісті	әдіс:ROOT/ті:MORPH
жеткізеді	жет:ROOT/кіз:MORPH/е:MORPH/ді:MORPH
тағлым	тағл:ROOT/ым:MORPH
анық	анық:ROOT
Жеке	Жеке:ROOT
түсіндіруге	түс:ROOT/ін:MORPH/дір:MORPH/у:MORPH/ге:MORPH
үміт	үміт:ROOT
түйсіну	түйсін:ROOT/у:MORPH
мәнмаңызы	мәнмаңыз:ROOT/ы:MORPH
ме	ме:ROOT
метафизикада	метафизика:ROOT/да:MORPH
ме	ме:ROOT
оған	о:ROOT/ған:MORPH
мән	мән:ROOT
Сократ	Сократ:ROOT
ой	ой:ROOT
ақиқаттың	ақиқат:ROOT/тың:MORPH
жоқ	жоқ:ROOT
әңгімесінен	әңгіме:ROOT/сі:MORPH/нен:MORPH
мәнер	мәнер:ROOT
оқимыз	оқи:ROOT/мыз:MORPH
әрі	әрі:ROOT
шақырған	шақыр:ROOT/ған:MORPH
сөзі	сөз:ROOT/і:MORPH
көрінеді	көр:ROOT/ін:MORPH/е:MORPH/ді:MORPH
өзөзінен	өзөз:ROOT/і:MORPH/нен:MORPH
қабылдауға	қабыл:ROOT/да:MORPH/у:MORPH/ға:MORPH
Сократ	Сократ:ROOT
қосылады	қос:ROOT/ыл:MORPH/а:MORPH/ды:MORPH
да	да:ROOT
тәсіл	тәсіл:ROOT
дәлелдер	дәлел:ROOT/дер:MORPH
келіп	кел:ROOT/іп:MORPH
білді	біл:ROOT/ді:MORPH
Эриксимахқа	Эриксимах:ROOT/қа:MORPH
көзқарастарымен	көз:ROOT/қарас:MORPH/тар:MORPH/ы:MORPH/мен:MORPH
заңдылыққа	заң:ROOT/дылық:MORPH/қа:MORPH
қаупі	қауп:ROOT/і:MORPH
метафизикасын	метафизика:ROOT/сын:MORPH
деген	де:ROOT/ген:MORPH
білдіруге	біл:ROOT/дір:MORPH/у:MORPH/ге:MORPH
қатар	қатар:ROOT
саптасы	саптас:ROOT/ы:MORPH
Сатир	Сатир:ROOT
байсалды	байсал:ROOT/ды:MORPH
философтар	философ:ROOT/тар:MORPH
басқаша	басқаша:ROOT
Сократ	Сократ:ROOT
өміріне	өмір:ROOT/і:MORPH/не:MORPH
қыздардың	қыз:ROOT/дар:MORPH/дың:MORPH
Спинозаның	Спиноза:ROOT/ның:MORPH
үзілдікесілді	үз:ROOT/іл:MORPH/дікес:MORPH/іл:MORPH/ді:MORPH
Атақты	Атақ:ROOT/ты:MORPH
Игілікке	Игі:ROOT/лік:MORPH/ке:MORPH
зерделенеді	зерде:ROOT/лен:MORPH/е:MORPH/ді:MORPH
Бұл	Бұл:ROOT
еңбектерін	еңбек:ROOT/тер:MORPH/і:MORPH/н:MORPH
және	және:ROOT
атап	ата:ROOT/п:MORPH
сенімділікпен	сен:ROOT/ім:MORPH/ді:MORPH/лік:MORPH/пен:MORPH
адамдар	адам:ROOT/дар:MORPH
ойының	ой:ROOT/ы:MORPH/ның:MORPH
нәрсе	нәрсе:ROOT
жан	жан:ROOT
тәржімелеуімен	тәржі:ROOT/ме:MORPH/ле:MORPH/у:MORPH/і:MORPH/мен:MORPH
итжығыс	ит:ROOT/жығыс:MORPH
еңбегінің	еңбег:ROOT/і:MORPH/нің:MORPH
деректерге	дерек:ROOT/тер:MORPH/ге:MORPH
өлімі	өлім:ROOT/і:MORPH
айтыста	айтыс:ROOT/та:MORPH
арасынан	ара:ROOT/сы:MORPH/нан:MORPH
жас	жас:ROOT
болып	бол:ROOT/ып:MORPH
Ережелер	Ереже:ROOT/лер:MORPH
үш	үш:ROOT
бұрын	бұрын:ROOT
мәні	мән:ROOT/і:MORPH
бірбірін	бірбір:ROOT/і:MORPH/н:MORPH
келеді	кел:ROOT/е:MORPH/ді:MORPH
бағытталған	бағыт:ROOT/тал:MORPH/ған:MORPH
әлеміндегі	әлемін:ROOT/де:MORPH/гі:MORPH
негізі	негіз:ROOT/і:MORPH
қарастырылады	қарас:ROOT/тыр:MORPH/ыл:MORPH/а:MORPH/ды:MORPH
ойымды	ой:ROOT/ым:MORPH/ды:MORPH
көрсетіңізші	көр:ROOT/се:MORPH/т:MORPH/іңіз:MORPH/ші:MORPH
тығырықтан	тығырық:ROOT/тан:MORPH
комедиограф	комедио:ROOT/граф:MORPH
сұраған	сұр:ROOT/а:MORPH/ған:MORPH
бітімі	бітім:ROOT/і:MORPH
жұмсартатын	жұмсар:ROOT/т:MORPH/атын:MORPH
өз	өз:ROOT
Адамды	Адам:ROOT/ды:MORPH
сене	сене:ROOT
қабырғаларында	қабырға:ROOT/лар:MORPH/ы:MORPH/н:MORPH/да:MORPH
құралдары	құрал:ROOT/дар:MORPH/ы:MORPH
Сократтың	Сократ:ROOT/тың:MORPH
лауазымына	лауазым:ROOT/ы:MORPH/на:MORPH
тіліне	тіл:ROOT/і:MORPH/не:MORPH
Ол	Ол:ROOT
ойлауға	ойла:ROOT/у:MORPH/ға:MORPH
Ол	Ол:ROOT
Геометриялық	Геометрия:ROOT/лық:MORPH
тоқтау	тоқта:ROOT/у:MORPH
әбден	әбден:ROOT
дәлелдеп	дәлел:ROOT/де:MORPH/п:MORPH
дене	дене:ROOT
еліктіріп	елік:ROOT/тір:MORPH/іп:MORPH
қояды	қоя:ROOT/ды:MORPH
Сократ	Сократ:ROOT
болғанын	бол:ROOT/ған:MORPH/ы:MORPH/н:MORPH
кеңес	кеңес:ROOT
жету	жет:ROOT/у:MORPH
қуаныш	қуаныш:ROOT
мен	мен:ROOT
құлға	құл:ROOT/ға:MORPH
одақтың	одақ:ROOT/тың:MORPH
құмарлығын	құмар:ROOT/лығ:MORPH/ын:MORPH
қажетті	қажет:ROOT/ті:MORPH
мен	мен:ROOT
Уильям	Уильям:ROOT
тіршілік	тірші:ROOT/лік:MORPH
трактатын	трактат:ROOT/ы:MORPH/н:MORPH
оны	о:ROOT/ны:MORPH
түрдегі	түр:ROOT/де:MORPH/гі:MORPH
арнаға	арна:ROOT/ға:MORPH
тікелей	тіке:ROOT/лей:MORPH
бір	бір:ROOT
де	де:ROOT
деп	деп:ROOT
бірбірімен	бірбір:ROOT/і:MORPH/мен:MORPH
Осы	Осы:ROOT
әлемде	әлем:ROOT/де:MORPH
тұжырымдай	тұжырым:ROOT/да:MORPH/й:MORPH
етіп	ет:ROOT/іп:MORPH
Локк	Локк:ROOT
келеді	кел:ROOT/е:MORPH/ді:MORPH
келіп	кел:ROOT/іп:MORPH
сенімді	сен:ROOT/ім:MORPH/ді:MORPH
Басқа	Басқа:ROOT
Дүниедегі	Дүние:ROOT/де:MORPH/гі:MORPH
үшін	үшін:ROOT
философияға	философия:ROOT/ға:MORPH
өткендей	өт:ROOT/кен:MORPH/дей:MORPH
көрнекті	көрнек:ROOT/ті:MORPH
шығармаға	шығ:ROOT/ар:MORPH/ма:MORPH/ға:MORPH
кірісіп	кір:ROOT/іс:MORPH/іп:MORPH
қозғалған	қозға:ROOT/л:MORPH/ған:MORPH
осы	осы:ROOT
potestas	potestas:ROOT
оларға	о:ROOT/лар:MORPH/ға:MORPH
дұрыс	дұрыс:ROOT
алмайтыны	ал:ROOT/ма:MORPH/йтыны:MORPH
трактатының	трактат:ROOT/ы:MORPH/ның:MORPH
философиялық	философия:ROOT/лық:MORPH
жасанды	жаса:ROOT/нды:MORPH
дұрыс	дұрыс:ROOT
отырып	отыр:ROOT/ып:MORPH
есімі	есім:ROOT/і:MORPH
білгірлер	біл:ROOT/гір:MORPH/лер:MORPH
қалыптастыруға	қалып:ROOT/тас:MORPH/тыр:MORPH/у:MORPH/ға:MORPH
ең	ең:ROOT
көреді	көр:ROOT/е:MORPH/ді:MORPH
оның	о:ROOT/ның:MORPH
пікірлерді	пікір:ROOT/лер:MORPH/ді:MORPH
пікірі	пікір:ROOT/і:MORPH
жеделдету	жедел:ROOT/де:MORPH/т:MORPH/у:MORPH
терең	терең:ROOT
Гегельдер	Гегельдер:ROOT
адам	адам:ROOT
жан	жан:ROOT
айтыс	айт:ROOT/ыс:MORPH
қамқорлық	қамқор:ROOT/лық:MORPH
осындай	осын:ROOT/дай:MORPH
көлеңкелерді	көлеңке:ROOT/лер:MORPH/ді:MORPH
үнемі	үнемі:ROOT
бұрынғы	бұрын:ROOT/ғы:MORPH
қалыптастырғысы	қалыптас:ROOT/тыр:MORPH/ғы:MORPH/сы:MORPH
идеяларының	идея:ROOT/лар:MORPH/ы:MORPH/ның:MORPH
диалогтың	диалог:ROOT/тың:MORPH
емес	е:ROOT/мес:MORPH
Ол	Ол:ROOT
ауқымын	ауқ:ROOT/ым:MORPH/ы:MORPH/н:MORPH
құқыққа	құқық:ROOT/қа:MORPH
арқылы	арқылы:ROOT
тұста	тұс:ROOT/та:MORPH
ықылық	ықы:ROOT/лық:MORPH
беруді	бер:ROOT/у:MORPH/ді:MORPH
едәуір	едәуір:ROOT
жататынын	жат:ROOT/атын:MORPH/ы:MORPH/н:MORPH
сипат	сипат:ROOT
айтып	айт:ROOT/ып:MORPH
білем	біл:ROOT/ем:MORPH
Павсанийдің	Павсаний:ROOT/дің:MORPH
тудыратын	ту:ROOT/дыр:MORPH/атын:MORPH
болмысымен	бол:ROOT/мыс:MORPH/ы:MORPH/мен:MORPH
шарты	шарт:ROOT/ы:MORPH
тұжырымдамалық	тұжырым:ROOT/дама:MORPH/лық:MORPH
білдіреді	біл:ROOT/дір:MORPH/е:MORPH/ді:MORPH
құдірет	құдірет:ROOT
Шын	Шын:ROOT
махаббат	махаббат:ROOT
ішінде	іш:ROOT/і:MORPH/н:MORPH/де:MORPH
картезиандық	картезиан:ROOT/дық:MORPH
алғанда	ал:ROOT/ған:MORPH/да:MORPH
Себебі	Себеб:ROOT/і:MORPH
қозғалыс	қозғ:ROOT/ал:MORPH/ыс:MORPH
яғни	яғни:ROOT
бұлайша	бұ:ROOT/лай:MORPH/ша:MORPH
өзінің	өз:ROOT/і:MORPH/нің:MORPH
сөзіне	сөз:ROOT/і:MORPH/не:MORPH
таным	тан:ROOT/ым:MORPH
билеуі	биле:ROOT/у:MORPH/і:MORPH
сөздерімен	сөз:ROOT/дер:MORPH/і:MORPH/мен:MORPH
қоюға	қо:ROOT/ю:MORPH/ға:MORPH
кейіпкер	кейіп:ROOT/кер:MORPH
айтқанда	айт:ROOT/қан:MORPH/да:MORPH
де	де:ROOT
бергенін	бер:ROOT/ген:MORPH/ін:MORPH
ғалымгеометр	ғалымгеометр:ROOT
белгілі	белгі:ROOT/лі:MORPH
шындап	шын:ROOT/дап:MORPH
килігулерге	киліг:ROOT/у:MORPH/лер:MORPH/ге:MORPH
Иә	Иә:ROOT
ред	ред:ROOT
әлі	әлі:ROOT
сұхбаттың	сұхбат:ROOT/тың:MORPH
сәйкес	сәйкес:ROOT
жерде	жер:ROOT/де:MORPH
ішіндегі	іш:ROOT/і:MORPH/н:MORPH/де:MORPH/гі:MORPH
атап	ата:ROOT/п:MORPH
жақтастары	жақтас:ROOT/тар:MORPH/ы:MORPH
тырысады	тырыс:ROOT/а:MORPH/ды:MORPH
түсіндіруге	түсін:ROOT/дір:MORPH/у:MORPH/ге:MORPH
арасында	ара:ROOT/сы:MORPH/н:MORPH/да:MORPH
жазған	жаз:ROOT/ған:MORPH
түрлі	түрлі:ROOT
екенін	е:ROOT/кен:MORPH/і:MORPH/н:MORPH
қайғы	қайғы:ROOT
бермегендіктен	бер:ROOT/ме:MORPH/ген:MORPH/дік:MORPH/тен:MORPH
хал	хал:ROOT
өзіндеақ	өз:ROOT/і:MORPH/н:MORPH/деақ:MORPH
өз	өз:ROOT
шынайы	шын:ROOT/айы:MORPH
Агафонның	Агафон:ROOT/ның:MORPH
ең	ең:ROOT
негізгі	негіз:ROOT/гі:MORPH
анықтап	анық:ROOT/та:MORPH/п:MORPH
ортаға	орта:ROOT/ға:MORPH
шығып	шығ:ROOT/ып:MORPH
белгілі	белгі:ROOT/лі:MORPH
етеді	ет:ROOT/е:MORPH/ді:MORPH
келген	кел:ROOT/ген:MORPH
соң	соң:ROOT
ғалымдығымен	ғалым:ROOT/дығ:MORPH/ы:MORPH/мен:MORPH
көрсетеді	көр:ROOT/се:MORPH/т:MORPH/е:MORPH/ді:MORPH
салыстыру	салыстыр:ROOT/у:MORPH
екінші	ек:ROOT/інші:MORPH
бұл	бұл:ROOT
сол	сол:ROOT
cogitoсы	cogitoсы:ROOT
Гоббс	Гоббс:ROOT
көздейді	көз:ROOT/де:MORPH/й:MORPH/ді:MORPH
Ақыр	Ақыр:ROOT
әділдік	әділ:ROOT/дік:MORPH
біржақты	біржақ:ROOT/ты:MORPH
сейілтуіміз	сейіл:ROOT/т:MORPH/у:MORPH/іміз:MORPH
көмегімен	көмег:ROOT/і:MORPH/мен:MORPH
тән	тән:ROOT
Платонның	Платон:ROOT/ның:MORPH
де	де:ROOT
да	да:ROOT
айналысқан	айна:ROOT/лыс:MORPH/қан:MORPH
ақылпарасаттың	ақылпарасат:ROOT/тың:MORPH
атап	ата:ROOT/п:MORPH
жиынтығын	жиын:ROOT/тығ:MORPH/ын:MORPH
толысқан	тол:ROOT/ыс:MORPH/қан:MORPH
дүниеге	дүние:ROOT/ге:MORPH
Әйтсе	Әйт:ROOT/се:MORPH
деп	де:ROOT/п:MORPH
жақсырақ	жақсы:ROOT/рақ:MORPH
өріліп	өр:ROOT/іл:MORPH/іп:MORPH
Пайымның	Пайым:ROOT/ның:MORPH
ақиқатқа	ақиқат:ROOT/қа:MORPH
философияға	философия:ROOT/ға:MORPH
өздерінің	өздер:ROOT/і:MORPH/нің:MORPH
қалыптастыра	қалып:ROOT/тас:MORPH/тыр:MORPH/а:MORPH
Соңында	Соң:ROOT/ы:MORPH/н:MORPH/да:MORPH
емес	е:ROOT/мес:MORPH
сынға	сын:ROOT/ға:MORPH
махаббат	махаббат:ROOT
болады	бол:ROOT/а:MORPH/ды:MORPH
мен	мен:ROOT
әдемі	әдемі:ROOT
философиялық	философия:ROOT/лық:MORPH
еш	еш:ROOT
сараптамалық	сарап:ROOT/тама:MORPH/лық:MORPH
екі	екі:ROOT
өзөздеріне	өзөз:ROOT/дер:MORPH/і:MORPH/не:MORPH
болуы	бол:ROOT/у:MORPH/ы:MORPH
қарсы	қарсы:ROOT
ақиқат	ақиқат:ROOT
деп	де:ROOT/п:MORPH
үзінділерді	үзін:ROOT/ді:MORPH/лер:MORPH/ді:MORPH
дәрігерлік	дәрі:ROOT/гер:MORPH/лік:MORPH
Сол	Сол:ROOT
алыс	алыс:ROOT
мен	мен:ROOT
оңдырмай	оң:ROOT/дыр:MORPH/ма:MORPH/й:MORPH
пайымын	пайым:ROOT/ы:MORPH/н:MORPH
әрқайсысы	әр:ROOT/қайсы:MORPH/сы:MORPH
да	да:ROOT
диалог	диалог:ROOT
анықтауымыз	анық:ROOT/та:MORPH/у:MORPH/ымыз:MORPH
жер	жер:ROOT
оқыды	оқы:ROOT/ды:MORPH
құтқаратын	құтқар:ROOT/атын:MORPH
жариялауда	жария:ROOT/ла:MORPH/у:MORPH/да:MORPH
гиппондық	гиппон:ROOT/дық:MORPH
жібереді	жібер:ROOT/е:MORPH/ді:MORPH
үңгірдің	үңгір:ROOT/дің:MORPH
арқауындағы	арқау:ROOT/ын:MORPH/да:MORPH/ғы:MORPH
да	да:ROOT
нығайта	нығай:ROOT/т:MORPH/а:MORPH
қарымқатынаста	қарымқатынас:ROOT/та:MORPH
жеткізу	жет:ROOT/кіз:MORPH/у:MORPH
Біз	Біз:ROOT
гөрі	гөрі:ROOT
әртүрлі	әр:ROOT/түрлі:MORPH
диалогқа	диалог:ROOT/қа:MORPH
еркіндікке	еркіндік:ROOT/ке:MORPH
майевтиканың	майевтика:ROOT/ның:MORPH
берік	берік:ROOT
дейінгі	дейін:ROOT/гі:MORPH
қайтыс	қайтыс:ROOT
Платонның	Платон:ROOT/ның:MORPH
түсіреді	түс:ROOT/ір:MORPH/еді:MORPH
әңгіме	әңгіме:ROOT
Женевьева	Женевьева:ROOT
Локк	Локк:ROOT
ғана	ғана:ROOT
анық	анық:ROOT
Масайраған	Масайра:ROOT/ған:MORPH
ұғымды	ұғым:ROOT/ды:MORPH
нақ	нақ:ROOT
күш	күш:ROOT
бойынша	бойын:ROOT/ша:MORPH
атанды	ата:ROOT/н:MORPH/ды:MORPH
өзекті	өзек:ROOT/ті:MORPH
болып	бол:ROOT/ып:MORPH
идеалға	идеал:ROOT/ға:MORPH
Платон	Платон:ROOT
дәл	дәл:ROOT
қонақтары	қонақ:ROOT/тар:MORPH/ы:MORPH
саясат	саясат:ROOT
Толғаныстарда	Толғаныс:ROOT/тар:MORPH/да:MORPH
оқырманның	оқыр:ROOT/ман:MORPH/ның:MORPH
Гоббс	Гоббс:ROOT
көтерілуге	көтер:ROOT/іл:MORPH/у:MORPH/ге:MORPH
мен	мен:ROOT
гомосексуалдықтың	гомосексуал:ROOT/дық:MORPH/тың:MORPH
абыз	абыз:ROOT
Мемлекетте	Мемлекет:ROOT/те:MORPH
органикалық	органика:ROOT/лық:MORPH
ол	ол:ROOT
айтсақ	айт:ROOT/са:MORPH/қ:MORPH
бастайсыз	баста:ROOT/й:MORPH/сыз:MORPH
білімге	бі:ROOT/лім:MORPH/ге:MORPH
өмірге	өмір:ROOT/ге:MORPH
көп	көп:ROOT
та	та:ROOT
қарекет	қарекет:ROOT
пайымдардың	пайым:ROOT/дар:MORPH/дың:MORPH
қызметіне	қызмет:ROOT/і:MORPH/не:MORPH
болжамды	болжам:ROOT/ды:MORPH
етемін	ет:ROOT/е:MORPH/мін:MORPH
Ол	Ол:ROOT
беруді	бер:ROOT/у:MORPH/ді:MORPH
келген	кел:ROOT/ген:MORPH
тойтарыс	тойтарыс:ROOT
келмейді	кел:ROOT/ме:MORPH/й:MORPH/ді:MORPH
тәлімі	тәлім:ROOT/і:MORPH
ұстанымының	ұстаным:ROOT/ы:MORPH/ның:MORPH
Қала	Қала:ROOT
ретінде	рет:ROOT/і:MORPH/н:MORPH/де:MORPH
ма	ма:ROOT
Философия	Философия:ROOT
бір	бір:ROOT
деген	де:ROOT/ген:MORPH
дүние	дүние:ROOT
дәуірінің	дәуір:ROOT/і:MORPH/нің:MORPH
ақылшыұстаздың	ақыл:ROOT/шыұстаз:MORPH/дың:MORPH
досы	дос:ROOT/ы:MORPH
бұл	бұл:ROOT
онда	он:ROOT/да:MORPH
жақындаудың	жақын:ROOT/да:MORPH/у:MORPH/дың:MORPH
Метеорларда	Метеор:ROOT/ла:MORPH/рда:MORPH
сөйлеген	сөйле:ROOT/ген:MORPH
түріне	түр:ROOT/і:MORPH/не:MORPH
жалпыға	жалпы:ROOT/ға:MORPH
еді	е:ROOT/ді:MORPH
және	және:ROOT
осы	осы:ROOT
ақиқатқа	ақиқат:ROOT/қа:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
дамытуға	дамыт:ROOT/у:MORPH/ға:MORPH
жақсы	жақсы:ROOT
нағыз	нағыз:ROOT
жылдар	жыл:ROOT/дар:MORPH
күмәнмен	күмән:ROOT/мен:MORPH
Кейінірек	Кейін:ROOT/ірек:MORPH
құрылымға	құр:ROOT/ыл:MORPH/ым:MORPH/ға:MORPH
тұжырымдаманы	тұжырым:ROOT/дама:MORPH/ны:MORPH
Философтан	Философ:ROOT/тан:MORPH
кемеліне	кемел:ROOT/і:MORPH/не:MORPH
мәліметтердің	мәлімет:ROOT/тер:MORPH/дің:MORPH
берген	бер:ROOT/ген:MORPH
әпсананы	әпсана:ROOT/ны:MORPH
басқару	басқар:ROOT/у:MORPH
ізгіліктердің	ізгі:ROOT/лік:MORPH/тер:MORPH/дің:MORPH
мәтіндердің	мәтін:ROOT/дер:MORPH/дің:MORPH
сөздерінің	сөз:ROOT/дер:MORPH/і:MORPH/нің:MORPH
де	де:ROOT
ұғынған	ұғ:ROOT/ын:MORPH/ған:MORPH
сезінуге	сез:ROOT/ін:MORPH/у:MORPH/ге:MORPH
ажалды	ажал:ROOT/ды:MORPH
киліккен	килік:ROOT/кен:MORPH
резиденті	резидент:ROOT/і:MORPH
соң	соң:ROOT
келтірген	келтір:ROOT/ген:MORPH
Аристофанды	Аристофан:ROOT/ды:MORPH
түсіндірді	түсін:ROOT/дір:MORPH/ді:MORPH
ғана	ғана:ROOT
шындап	шын:ROOT/да:MORPH/п:MORPH
және	және:ROOT
педантты	педант:ROOT/ты:MORPH
көтерсе	көтер:ROOT/се:MORPH
қозғалыс	қозғалыс:ROOT
биік	биік:ROOT
тұрғыдан	тұрғы:ROOT/дан:MORPH
әсіре	әсіре:ROOT
пайымдарды	пайым:ROOT/дар:MORPH/ды:MORPH
мәселелермен	мәселе:ROOT/лер:MORPH/мен:MORPH
махаббатқа	махаббат:ROOT/қа:MORPH
құштарлық	құштар:ROOT/лық:MORPH
сөздерінде	сөз:ROOT/дер:MORPH/і:MORPH/нде:MORPH
мәселесімен	мәселе:ROOT/сі:MORPH/мен:MORPH
Қарапайым	Қарапайым:ROOT
бұрып	бұр:ROOT/ып:MORPH
балгер	бал:ROOT/гер:MORPH
қызықтыра	қызық:ROOT/тыр:MORPH/а:MORPH
аудиторияға	аудитория:ROOT/ға:MORPH
философының	философ:ROOT/ы:MORPH/ның:MORPH
тәжірибе	тәжірибе:ROOT
басқа	басқа:ROOT
теңеледі	теңел:ROOT/е:MORPH/ді:MORPH
келуіне	кел:ROOT/у:MORPH/і:MORPH/не:MORPH
жалпыға	жалпы:ROOT/ға:MORPH
трагедия	трагедия:ROOT
ескерілмеген	ескер:ROOT/іл:MORPH/ме:MORPH/ген:MORPH
де	де:ROOT
ығыстырып	ығыс:ROOT/тыр:MORPH/ып:MORPH
нұсқасы	нұсқа:ROOT/сы:MORPH
бөлінген	бөл:ROOT/ін:MORPH/ген:MORPH
ақылпарасаты	ақылпарасат:ROOT/ы:MORPH
келеді	кел:ROOT/е:MORPH/ді:MORPH
та	та:ROOT
түрінде	түр:ROOT/і:MORPH/н:MORPH/де:MORPH
бізге	біз:ROOT/ге:MORPH
үңгір	үңгір:ROOT
ұмтылысқа	ұмтылыс:ROOT/қа:MORPH
көрсету	көр:ROOT/се:MORPH/т:MORPH/у:MORPH
қалмай	қал:ROOT/ма:MORPH/й:MORPH
Математик	Математик:ROOT
тылсым	тыл:ROOT/сым:MORPH
әпсана	әпсана:ROOT
есептелген	есеп:ROOT/те:MORPH/л:MORPH/ген:MORPH
және	және:ROOT
арналған	арна:ROOT/л:MORPH/ған:MORPH
сияқты	сияқты:ROOT
есептейді	есеп:ROOT/те:MORPH/й:MORPH/ді:MORPH
Алайда	Алайда:ROOT
саяси	саяс:ROOT/и:MORPH
латынданған	латын:ROOT/дан:MORPH/ған:MORPH
сұхбаттасушылардың	сұхбат:ROOT/тас:MORPH/у:MORPH/шы:MORPH/лар:MORPH/дың:MORPH
өзін	өз:ROOT/ін:MORPH
әркез	әркез:ROOT
өзінің	өз:ROOT/і:MORPH/нің:MORPH
оның	о:ROOT/ның:MORPH
сарындағы	сарын:ROOT/да:MORPH/ғы:MORPH
тыныштықты	тыныш:ROOT/тық:MORPH/ты:MORPH
Бұл	Бұл:ROOT
болмаса	бол:ROOT/ма:MORPH/са:MORPH
ақиқат	ақиқат:ROOT
қорытындылар	қорытынды:ROOT/лар:MORPH
таңдаған	таң:ROOT/да:MORPH/ған:MORPH
нәрсеге	нәрсе:ROOT/ге:MORPH
жоғары	жоғары:ROOT
әрқашан	әрқашан:ROOT
жаппай	жап:ROOT/па:MORPH/й:MORPH
Уордтың	Уорд:ROOT/тың:MORPH
қоймаған	қой:ROOT/ма:MORPH/ған:MORPH
